Census,School Name,Category,Year Level,Students
02 August 2019,Bonython Primary School,Gov,Year 6,38
02 August 2019,Calwell High School,Gov,Year 7,108
02 August 2019,Calwell High School,Gov,Year 8,90
02 August 2019,Calwell High School,Gov,Year 9,114
02 August 2019,Calwell High School,Gov,Year 10,83
02 August 2019,Calwell Primary School,Gov,Preschool,68
02 August 2019,Calwell Primary School,Gov,Kindergarten,42
02 August 2019,Calwell Primary School,Gov,Year 1,38
02 August 2019,Calwell Primary School,Gov,Year 2,30
02 August 2019,Calwell Primary School,Gov,Year 3,32
02 August 2019,Calwell Primary School,Gov,Year 4,37
02 August 2019,Calwell Primary School,Gov,Year 5,34
02 August 2019,Calwell Primary School,Gov,Year 6,36
02 August 2019,Campbell High School,Gov,Year 7,193
02 August 2019,Campbell High School,Gov,Year 8,183
02 August 2019,Campbell High School,Gov,Year 9,184
02 August 2019,Campbell High School,Gov,Year 10,187
02 August 2019,Campbell Primary School,Gov,Preschool,44
02 August 2019,Campbell Primary School,Gov,Kindergarten,59
02 August 2019,Campbell Primary School,Gov,Year 1,47
02 August 2019,Campbell Primary School,Gov,Year 2,55
02 August 2019,Campbell Primary School,Gov,Year 3,56
02 August 2019,Campbell Primary School,Gov,Year 4,44
02 August 2019,Campbell Primary School,Gov,Year 5,50
02 August 2019,Campbell Primary School,Gov,Year 6,47
02 August 2019,"Canberra College, The",Gov,Year 11,522
02 August 2019,"Canberra College, The",Gov,Year 12,487
02 August 2019,"Canberra College, The",Gov,Mature,100
02 August 2019,Canberra High School,Gov,Year 7,226
02 August 2019,Canberra High School,Gov,Year 8,212
02 August 2019,Canberra High School,Gov,Year 9,214
02 August 2019,Canberra High School,Gov,Year 10,215
02 August 2019,Caroline Chisholm School,Gov,Preschool,44
02 August 2019,Caroline Chisholm School,Gov,Kindergarten,41
02 August 2019,Caroline Chisholm School,Gov,Year 1,38
02 August 2019,Caroline Chisholm School,Gov,Year 2,38
02 August 2019,Caroline Chisholm School,Gov,Year 3,48
02 August 2019,Caroline Chisholm School,Gov,Year 4,41
02 August 2019,Caroline Chisholm School,Gov,Year 5,35
02 August 2019,Caroline Chisholm School,Gov,Year 6,51
02 August 2019,Caroline Chisholm School,Gov,Year 7,110
02 August 2019,Caroline Chisholm School,Gov,Year 8,95
02 August 2019,Caroline Chisholm School,Gov,Year 9,85
02 August 2019,Caroline Chisholm School,Gov,Year 10,91
02 August 2019,Chapman Primary School,Gov,Preschool,84
02 August 2019,Chapman Primary School,Gov,Kindergarten,66
02 August 2019,Chapman Primary School,Gov,Year 1,80
02 August 2019,Chapman Primary School,Gov,Year 2,87
02 August 2019,Chapman Primary School,Gov,Year 3,84
02 August 2019,Chapman Primary School,Gov,Year 4,82
02 August 2019,Chapman Primary School,Gov,Year 5,80
02 August 2019,Chapman Primary School,Gov,Year 6,78
02 August 2019,Charles Conder Primary School,Gov,Preschool,97
02 August 2019,Charles Conder Primary School,Gov,Kindergarten,57
02 August 2019,Charles Conder Primary School,Gov,Year 1,77
02 August 2019,Charles Conder Primary School,Gov,Year 2,46
02 August 2019,Charles Conder Primary School,Gov,Year 3,51
02 August 2019,Charles Conder Primary School,Gov,Year 4,51
02 August 2019,Charles Conder Primary School,Gov,Year 5,33
02 August 2019,Charles Conder Primary School,Gov,Year 6,34
02 August 2019,Charles Weston School,Gov,Preschool,99
02 August 2019,Charles Weston School,Gov,Kindergarten,92
02 August 2019,Charles Weston School,Gov,Year 1,83
02 August 2019,Charles Weston School,Gov,Year 2,56
02 August 2019,Charles Weston School,Gov,Year 3,48
02 August 2019,Charles Weston School,Gov,Year 4,53
02 August 2019,Charles Weston School,Gov,Year 5,35
02 August 2019,Charles Weston School,Gov,Year 6,35
02 August 2019,Charnwood-Dunlop School,Gov,Preschool,90
02 August 2019,Charnwood-Dunlop School,Gov,Kindergarten,61
02 August 2019,Charnwood-Dunlop School,Gov,Year 1,53
02 August 2019,Charnwood-Dunlop School,Gov,Year 2,48
02 August 2019,Charnwood-Dunlop School,Gov,Year 3,32
02 August 2019,Charnwood-Dunlop School,Gov,Year 4,49
02 August 2019,Charnwood-Dunlop School,Gov,Year 5,39
02 August 2019,Charnwood-Dunlop School,Gov,Year 6,28
02 August 2019,Cranleigh School,Gov,Preschool,12
02 August 2019,Cranleigh School,Gov,Kindergarten,10
02 August 2019,Cranleigh School,Gov,Year 1,9
02 August 2019,Cranleigh School,Gov,Year 2,10
02 August 2019,Cranleigh School,Gov,Year 3,16
02 August 2019,Cranleigh School,Gov,Year 4,10
02 August 2019,Cranleigh School,Gov,Year 5,17
02 August 2019,Cranleigh School,Gov,Year 6,4
02 August 2019,Curtin Primary School,Gov,Preschool,61
02 August 2019,Curtin Primary School,Gov,Kindergarten,57
02 August 2019,Curtin Primary School,Gov,Year 1,78
02 August 2019,Curtin Primary School,Gov,Year 2,77
02 August 2019,Curtin Primary School,Gov,Year 3,67
02 August 2019,Curtin Primary School,Gov,Year 4,73
02 August 2019,Curtin Primary School,Gov,Year 5,68
02 August 2019,Curtin Primary School,Gov,Year 6,73
02 August 2019,Dickson College,Gov,Year 7,8
02 August 2019,Dickson College,Gov,Year 8,3
02 August 2019,Dickson College,Gov,Year 9,7
02 August 2019,Dickson College,Gov,Year 10,8
02 August 2019,Dickson College,Gov,Year 11,319
02 August 2019,Dickson College,Gov,Year 12,390
02 August 2019,Duffy Primary School,Gov,Preschool,61
02 August 2019,Duffy Primary School,Gov,Kindergarten,60
02 August 2019,Duffy Primary School,Gov,Year 1,61
02 August 2019,Duffy Primary School,Gov,Year 2,70
02 August 2019,Duffy Primary School,Gov,Year 3,55
02 August 2019,Duffy Primary School,Gov,Year 4,47
02 August 2019,Duffy Primary School,Gov,Year 5,49
02 August 2019,Duffy Primary School,Gov,Year 6,56
02 August 2019,Erindale College,Gov,Year 10,75
02 August 2019,Erindale College,Gov,Year 11,272
02 August 2019,Erindale College,Gov,Year 12,160
02 August 2019,Evatt Primary School,Gov,Preschool,66
02 August 2019,Evatt Primary School,Gov,Kindergarten,37
02 August 2019,Evatt Primary School,Gov,Year 1,45
02 August 2019,Evatt Primary School,Gov,Year 2,48
02 August 2019,Evatt Primary School,Gov,Year 3,26
02 August 2019,Evatt Primary School,Gov,Year 4,45
02 August 2019,Evatt Primary School,Gov,Year 5,28
02 August 2019,Evatt Primary School,Gov,Year 6,39
02 August 2019,Fadden Primary School,Gov,Preschool,43
02 August 2019,Fadden Primary School,Gov,Kindergarten,42
02 August 2019,Fadden Primary School,Gov,Year 1,43
02 August 2019,Fadden Primary School,Gov,Year 2,32
02 August 2019,Fadden Primary School,Gov,Year 3,40
02 August 2019,Fadden Primary School,Gov,Year 4,42
02 August 2019,Fadden Primary School,Gov,Year 5,49
02 August 2019,Fadden Primary School,Gov,Year 6,41
02 August 2019,Farrer Primary School,Gov,Preschool,45
02 August 2019,Farrer Primary School,Gov,Kindergarten,37
02 August 2019,Farrer Primary School,Gov,Year 1,47
02 August 2019,Farrer Primary School,Gov,Year 2,52
02 August 2019,Farrer Primary School,Gov,Year 3,52
02 August 2019,Farrer Primary School,Gov,Year 4,57
02 August 2019,Farrer Primary School,Gov,Year 5,49
02 August 2019,Farrer Primary School,Gov,Year 6,52
02 August 2019,Florey Primary School,Gov,Preschool,81
02 August 2019,Florey Primary School,Gov,Kindergarten,67
02 August 2019,Florey Primary School,Gov,Year 1,54
02 August 2019,Florey Primary School,Gov,Year 2,60
02 August 2019,Florey Primary School,Gov,Year 3,54
02 August 2019,Florey Primary School,Gov,Year 4,64
02 August 2019,Florey Primary School,Gov,Year 5,59
02 August 2019,Florey Primary School,Gov,Year 6,58
02 August 2019,Forrest Primary School,Gov,Preschool,46
02 August 2019,Forrest Primary School,Gov,Kindergarten,73
02 August 2019,Forrest Primary School,Gov,Year 1,76
02 August 2019,Forrest Primary School,Gov,Year 2,76
02 August 2019,Forrest Primary School,Gov,Year 3,73
02 August 2019,Forrest Primary School,Gov,Year 4,75
02 August 2019,Forrest Primary School,Gov,Year 5,86
02 August 2019,Forrest Primary School,Gov,Year 6,81
02 August 2019,Franklin Early Childhood School,Gov,Preschool,131
02 August 2019,Franklin Early Childhood School,Gov,Kindergarten,86
02 August 2019,Franklin Early Childhood School,Gov,Year 1,60
02 August 2019,Franklin Early Childhood School,Gov,Year 2,66
02 August 2019,Franklin Early Childhood School,Gov,Year 3,41
02 August 2019,Fraser Primary School,Gov,Preschool,81
02 August 2019,Fraser Primary School,Gov,Kindergarten,77
02 August 2019,Fraser Primary School,Gov,Year 1,82
02 August 2019,Fraser Primary School,Gov,Year 2,76
02 August 2019,Fraser Primary School,Gov,Year 3,67
02 August 2019,Fraser Primary School,Gov,Year 4,66
02 August 2019,Fraser Primary School,Gov,Year 5,69
02 August 2019,Fraser Primary School,Gov,Year 6,60
02 August 2019,Garran Primary School,Gov,Preschool,44
02 August 2019,Garran Primary School,Gov,Kindergarten,71
02 August 2019,Garran Primary School,Gov,Year 1,84
02 August 2019,Garran Primary School,Gov,Year 2,92
02 August 2019,Garran Primary School,Gov,Year 3,96
02 August 2019,Garran Primary School,Gov,Year 4,101
02 August 2019,Garran Primary School,Gov,Year 5,78
02 August 2019,Garran Primary School,Gov,Year 6,81
02 August 2019,Gilmore Primary School,Gov,Preschool,43
02 August 2019,Gilmore Primary School,Gov,Kindergarten,17
02 August 2019,Gilmore Primary School,Gov,Year 1,21
02 August 2019,Gilmore Primary School,Gov,Year 2,15
02 August 2019,Gilmore Primary School,Gov,Year 3,23
02 August 2019,Gilmore Primary School,Gov,Year 4,14
02 August 2019,Gilmore Primary School,Gov,Year 5,12
02 August 2019,Gilmore Primary School,Gov,Year 6,15
02 August 2019,Giralang Primary School,Gov,Preschool,44
02 August 2019,Giralang Primary School,Gov,Kindergarten,44
02 August 2019,Giralang Primary School,Gov,Year 1,38
02 August 2019,Giralang Primary School,Gov,Year 2,45
02 August 2019,Giralang Primary School,Gov,Year 3,45
02 August 2019,Giralang Primary School,Gov,Year 4,35
02 August 2019,Giralang Primary School,Gov,Year 5,33
02 August 2019,Giralang Primary School,Gov,Year 6,48
02 August 2019,Gold Creek School,Gov,Preschool,120
02 August 2019,Gold Creek School,Gov,Kindergarten,94
02 August 2019,Gold Creek School,Gov,Year 1,90
02 August 2019,Gold Creek School,Gov,Year 2,94
02 August 2019,Gold Creek School,Gov,Year 3,73
02 August 2019,Gold Creek School,Gov,Year 4,79
02 August 2019,Gold Creek School,Gov,Year 5,76
02 August 2019,Gold Creek School,Gov,Year 6,64
02 August 2019,Gold Creek School,Gov,Year 7,166
02 August 2019,Gold Creek School,Gov,Year 8,139
02 August 2019,Gold Creek School,Gov,Year 9,144
02 August 2019,Gold Creek School,Gov,Year 10,139
02 August 2019,Gordon Primary School,Gov,Preschool,92
02 August 2019,Gordon Primary School,Gov,Kindergarten,66
02 August 2019,Gordon Primary School,Gov,Year 1,65
02 August 2019,Gordon Primary School,Gov,Year 2,56
02 August 2019,Gordon Primary School,Gov,Year 3,72
02 August 2019,Gordon Primary School,Gov,Year 4,55
02 August 2019,Gordon Primary School,Gov,Year 5,54
02 August 2019,Gordon Primary School,Gov,Year 6,50
02 August 2019,Gowrie Primary School,Gov,Preschool,42
02 August 2019,Gowrie Primary School,Gov,Kindergarten,41
02 August 2019,Gowrie Primary School,Gov,Year 1,39
02 August 2019,Gowrie Primary School,Gov,Year 2,51
02 August 2019,Gowrie Primary School,Gov,Year 3,43
02 August 2019,Gowrie Primary School,Gov,Year 4,47
02 August 2019,Gowrie Primary School,Gov,Year 5,30
02 August 2019,Gowrie Primary School,Gov,Year 6,32
02 August 2019,Gungahlin College,Gov,Year 10,28
02 August 2019,Gungahlin College,Gov,Year 11,580
02 August 2019,Gungahlin College,Gov,Year 12,505
02 August 2019,Harrison School,Gov,Preschool,133
02 August 2019,Harrison School,Gov,Kindergarten,169
02 August 2019,Harrison School,Gov,Year 1,163
02 August 2019,Harrison School,Gov,Year 2,164
02 August 2019,Harrison School,Gov,Year 3,156
02 August 2019,Harrison School,Gov,Year 4,182
02 August 2019,Harrison School,Gov,Year 5,172
02 August 2019,Harrison School,Gov,Year 6,164
02 August 2019,Harrison School,Gov,Year 7,173
02 August 2019,Harrison School,Gov,Year 8,148
02 August 2019,Harrison School,Gov,Year 9,124
02 August 2019,Harrison School,Gov,Year 10,153
02 August 2019,Hawker College,Gov,Year 11,226
02 August 2019,Hawker College,Gov,Year 12,237
02 August 2019,Hawker Primary School,Gov,Preschool,43
02 August 2019,Hawker Primary School,Gov,Kindergarten,38
02 August 2019,Hawker Primary School,Gov,Year 1,48
02 August 2019,Hawker Primary School,Gov,Year 2,54
02 August 2019,Hawker Primary School,Gov,Year 3,50
02 August 2019,Hawker Primary School,Gov,Year 4,51
02 August 2019,Hawker Primary School,Gov,Year 5,58
02 August 2019,Hawker Primary School,Gov,Year 6,41
02 August 2019,Hughes Primary School,Gov,Preschool,43
02 August 2019,Hughes Primary School,Gov,Kindergarten,58
02 August 2019,Hughes Primary School,Gov,Year 1,46
02 August 2019,Hughes Primary School,Gov,Year 2,52
02 August 2019,Hughes Primary School,Gov,Year 3,65
02 August 2019,Hughes Primary School,Gov,Year 4,68
02 August 2019,Hughes Primary School,Gov,Year 5,64
02 August 2019,Hughes Primary School,Gov,Year 6,61
02 August 2019,Isabella Plains Early Childhood School,Gov,Preschool,87
02 August 2019,Isabella Plains Early Childhood School,Gov,Kindergarten,40
02 August 2019,Isabella Plains Early Childhood School,Gov,Year 1,43
02 August 2019,Isabella Plains Early Childhood School,Gov,Year 2,23
02 August 2019,Jervis Bay School,Gov,Preschool,19
02 August 2019,Jervis Bay School,Gov,Kindergarten,3
02 August 2019,Jervis Bay School,Gov,Year 1,4
02 August 2019,Jervis Bay School,Gov,Year 2,6
02 August 2019,Jervis Bay School,Gov,Year 3,5
02 August 2019,Jervis Bay School,Gov,Year 4,1
02 August 2019,Jervis Bay School,Gov,Year 5,2
02 August 2019,Jervis Bay School,Gov,Year 6,6
02 August 2019,Kaleen Primary School,Gov,Preschool,65
02 August 2019,Kaleen Primary School,Gov,Kindergarten,66
02 August 2019,Kaleen Primary School,Gov,Year 1,67
02 August 2019,Kaleen Primary School,Gov,Year 2,61
02 August 2019,Kaleen Primary School,Gov,Year 3,75
02 August 2019,Kaleen Primary School,Gov,Year 4,70
02 August 2019,Kaleen Primary School,Gov,Year 5,62
02 August 2019,Kaleen Primary School,Gov,Year 6,77
02 August 2019,Kingsford Smith School,Gov,Preschool,81
02 August 2019,Kingsford Smith School,Gov,Kindergarten,61
02 August 2019,Kingsford Smith School,Gov,Year 1,57
02 August 2019,Kingsford Smith School,Gov,Year 2,57
02 August 2019,Kingsford Smith School,Gov,Year 3,72
02 August 2019,Kingsford Smith School,Gov,Year 4,75
02 August 2019,Kingsford Smith School,Gov,Year 5,76
02 August 2019,Kingsford Smith School,Gov,Year 6,71
02 August 2019,Kingsford Smith School,Gov,Year 7,119
02 August 2019,Kingsford Smith School,Gov,Year 8,113
02 August 2019,Kingsford Smith School,Gov,Year 9,94
02 August 2019,Kingsford Smith School,Gov,Year 10,93
02 August 2019,Koori Preschool,Gov,Preschool,88
02 August 2019,Lake Tuggeranong College,Gov,Year 11,359
02 August 2019,Lake Tuggeranong College,Gov,Year 12,286
02 August 2019,Lanyon High School,Gov,Year 7,95
02 August 2019,Lanyon High School,Gov,Year 8,105
02 August 2019,Lanyon High School,Gov,Year 9,77
02 August 2019,Lanyon High School,Gov,Year 10,88
02 August 2019,Latham Primary School,Gov,Preschool,59
02 August 2019,Latham Primary School,Gov,Kindergarten,62
02 August 2019,Latham Primary School,Gov,Year 1,42
02 August 2019,Latham Primary School,Gov,Year 2,33
02 August 2019,Latham Primary School,Gov,Year 3,38
02 August 2019,Latham Primary School,Gov,Year 4,43
02 August 2019,Latham Primary School,Gov,Year 5,39
02 August 2019,Latham Primary School,Gov,Year 6,42
02 August 2019,Lyneham High School,Gov,Year 7,239
02 August 2019,Lyneham High School,Gov,Year 8,294
02 August 2019,Lyneham High School,Gov,Year 9,281
02 August 2019,Lyneham High School,Gov,Year 10,290
02 August 2019,Lyneham Primary School,Gov,Preschool,62
02 August 2019,Lyneham Primary School,Gov,Kindergarten,66
02 August 2019,Lyneham Primary School,Gov,Year 1,67
02 August 2019,Lyneham Primary School,Gov,Year 2,58
02 August 2019,Lyneham Primary School,Gov,Year 3,75
02 August 2019,Lyneham Primary School,Gov,Year 4,67
02 August 2019,Lyneham Primary School,Gov,Year 5,70
02 August 2019,Lyneham Primary School,Gov,Year 6,70
02 August 2019,Lyons Early Childhood School,Gov,Preschool,66
02 August 2019,Lyons Early Childhood School,Gov,Kindergarten,25
02 August 2019,Lyons Early Childhood School,Gov,Year 1,22
02 August 2019,Lyons Early Childhood School,Gov,Year 2,17
02 August 2019,Macgregor Primary School,Gov,Preschool,87
02 August 2019,Macgregor Primary School,Gov,Kindergarten,87
02 August 2019,Macgregor Primary School,Gov,Year 1,72
02 August 2019,Macgregor Primary School,Gov,Year 2,56
02 August 2019,Macgregor Primary School,Gov,Year 3,85
02 August 2019,Macgregor Primary School,Gov,Year 4,87
02 August 2019,Macgregor Primary School,Gov,Year 5,61
02 August 2019,Macgregor Primary School,Gov,Year 6,64
02 August 2019,Macquarie Primary School,Gov,Preschool,44
02 August 2019,Macquarie Primary School,Gov,Kindergarten,49
02 August 2019,Macquarie Primary School,Gov,Year 1,39
02 August 2019,Macquarie Primary School,Gov,Year 2,49
02 August 2019,Macquarie Primary School,Gov,Year 3,43
02 August 2019,Macquarie Primary School,Gov,Year 4,57
02 August 2019,Macquarie Primary School,Gov,Year 5,33
02 August 2019,Macquarie Primary School,Gov,Year 6,58
02 August 2019,Majura Primary School,Gov,Preschool,87
02 August 2019,Majura Primary School,Gov,Kindergarten,87
02 August 2019,Majura Primary School,Gov,Year 1,105
02 August 2019,Majura Primary School,Gov,Year 2,90
02 August 2019,Majura Primary School,Gov,Year 3,88
02 August 2019,Majura Primary School,Gov,Year 4,90
02 August 2019,Majura Primary School,Gov,Year 5,84
02 August 2019,Majura Primary School,Gov,Year 6,71
02 August 2019,Malkara School,Gov,Preschool,6
02 August 2019,Malkara School,Gov,Kindergarten,10
02 August 2019,Malkara School,Gov,Year 1,10
02 August 2019,Malkara School,Gov,Year 2,15
02 August 2019,Malkara School,Gov,Year 3,10
02 August 2019,Malkara School,Gov,Year 4,13
02 August 2019,Malkara School,Gov,Year 5,4
02 August 2019,Malkara School,Gov,Year 6,5
02 August 2019,Margaret Hendry School,Gov,Preschool,122
02 August 2019,Margaret Hendry School,Gov,Kindergarten,53
02 August 2019,Margaret Hendry School,Gov,Year 1,30
02 August 2019,Margaret Hendry School,Gov,Year 2,30
02 August 2019,Margaret Hendry School,Gov,Year 3,24
02 August 2019,Margaret Hendry School,Gov,Year 4,22
02 August 2019,Margaret Hendry School,Gov,Year 5,14
02 August 2019,Margaret Hendry School,Gov,Year 6,6
02 August 2019,Maribyrnong Primary School,Gov,Preschool,87
02 August 2019,Maribyrnong Primary School,Gov,Kindergarten,90
02 August 2019,Maribyrnong Primary School,Gov,Year 1,84
02 August 2019,Maribyrnong Primary School,Gov,Year 2,64
02 August 2019,Maribyrnong Primary School,Gov,Year 3,78
02 August 2019,Maribyrnong Primary School,Gov,Year 4,57
02 August 2019,Maribyrnong Primary School,Gov,Year 5,68
02 August 2019,Maribyrnong Primary School,Gov,Year 6,43
02 August 2019,Mawson Primary School,Gov,Preschool,66
02 August 2019,Mawson Primary School,Gov,Kindergarten,72
02 August 2019,Mawson Primary School,Gov,Year 1,72
02 August 2019,Mawson Primary School,Gov,Year 2,56
02 August 2019,Mawson Primary School,Gov,Year 3,72
02 August 2019,Mawson Primary School,Gov,Year 4,47
02 August 2019,Mawson Primary School,Gov,Year 5,57
02 August 2019,Mawson Primary School,Gov,Year 6,50
02 August 2019,Melba Copland Secondary School,Gov,Year 7,135
02 August 2019,Melba Copland Secondary School,Gov,Year 8,132
02 August 2019,Melba Copland Secondary School,Gov,Year 9,96
02 August 2019,Melba Copland Secondary School,Gov,Year 10,138
02 August 2019,Melba Copland Secondary School,Gov,Year 11,90
02 August 2019,Melba Copland Secondary School,Gov,Year 12,68
02 August 2019,Melrose High School,Gov,Year 7,199
02 August 2019,Melrose High School,Gov,Year 8,229
02 August 2019,Melrose High School,Gov,Year 9,183
02 August 2019,Melrose High School,Gov,Year 10,196
02 August 2019,Miles Franklin Primary School,Gov,Preschool,87
02 August 2019,Miles Franklin Primary School,Gov,Kindergarten,65
02 August 2019,Miles Franklin Primary School,Gov,Year 1,79
02 August 2019,Miles Franklin Primary School,Gov,Year 2,70
02 August 2019,Miles Franklin Primary School,Gov,Year 3,70
02 August 2019,Miles Franklin Primary School,Gov,Year 4,72
02 August 2019,Miles Franklin Primary School,Gov,Year 5,80
02 August 2019,Miles Franklin Primary School,Gov,Year 6,68
02 August 2019,Monash Primary School,Gov,Preschool,65
02 August 2019,Monash Primary School,Gov,Kindergarten,70
02 August 2019,Monash Primary School,Gov,Year 1,47
02 August 2019,Monash Primary School,Gov,Year 2,64
02 August 2019,Monash Primary School,Gov,Year 3,58
02 August 2019,Monash Primary School,Gov,Year 4,64
02 August 2019,Monash Primary School,Gov,Year 5,67
02 August 2019,Monash Primary School,Gov,Year 6,41
02 August 2019,Mount Rogers Primary School,Gov,Preschool,106
02 August 2019,Mount Rogers Primary School,Gov,Kindergarten,94
02 August 2019,Mount Rogers Primary School,Gov,Year 1,72
02 August 2019,Mount Rogers Primary School,Gov,Year 2,68
02 August 2019,Mount Rogers Primary School,Gov,Year 3,74
02 August 2019,Mount Rogers Primary School,Gov,Year 4,61
02 August 2019,Mount Rogers Primary School,Gov,Year 5,49
02 August 2019,Mount Rogers Primary School,Gov,Year 6,60
02 August 2019,Mount Stromlo High School,Gov,Year 7,207
02 August 2019,Mount Stromlo High School,Gov,Year 8,178
02 August 2019,Mount Stromlo High School,Gov,Year 9,184
02 August 2019,Mount Stromlo High School,Gov,Year 10,151
02 August 2019,Namadgi School,Gov,Preschool,73
02 August 2019,Namadgi School,Gov,Kindergarten,53
02 August 2019,Namadgi School,Gov,Year 1,52
02 August 2019,Namadgi School,Gov,Year 2,47
02 August 2019,Namadgi School,Gov,Year 3,57
02 August 2019,Namadgi School,Gov,Year 4,46
02 August 2019,Namadgi School,Gov,Year 5,62
02 August 2019,Namadgi School,Gov,Year 6,56
02 August 2019,Namadgi School,Gov,Year 7,74
02 August 2019,Namadgi School,Gov,Year 8,79
02 August 2019,Namadgi School,Gov,Year 9,54
02 August 2019,Namadgi School,Gov,Year 10,57
02 August 2019,Narrabundah College,Gov,Year 11,473
02 August 2019,Narrabundah College,Gov,Year 12,430
02 August 2019,Narrabundah Early Childhood School,Gov,Preschool,73
02 August 2019,Narrabundah Early Childhood School,Gov,Kindergarten,33
02 August 2019,Narrabundah Early Childhood School,Gov,Year 1,21
02 August 2019,Narrabundah Early Childhood School,Gov,Year 2,18
02 August 2019,Neville Bonner Primary School,Gov,Preschool,160
02 August 2019,Neville Bonner Primary School,Gov,Kindergarten,132
02 August 2019,Neville Bonner Primary School,Gov,Year 1,138
02 August 2019,Neville Bonner Primary School,Gov,Year 2,118
02 August 2019,Neville Bonner Primary School,Gov,Year 3,92
02 August 2019,Neville Bonner Primary School,Gov,Year 4,98
02 August 2019,Neville Bonner Primary School,Gov,Year 5,78
02 August 2019,Neville Bonner Primary School,Gov,Year 6,60
02 August 2019,Ngunnawal Primary School,Gov,Preschool,111
02 August 2019,Ngunnawal Primary School,Gov,Kindergarten,114
02 August 2019,Ngunnawal Primary School,Gov,Year 1,88
02 August 2019,Ngunnawal Primary School,Gov,Year 2,78
02 August 2019,Ngunnawal Primary School,Gov,Year 3,98
02 August 2019,Ngunnawal Primary School,Gov,Year 4,70
02 August 2019,Ngunnawal Primary School,Gov,Year 5,64
02 August 2019,Ngunnawal Primary School,Gov,Year 6,63
02 August 2019,North Ainslie Primary School,Gov,Preschool,86
02 August 2019,North Ainslie Primary School,Gov,Kindergarten,93
02 August 2019,North Ainslie Primary School,Gov,Year 1,105
02 August 2019,North Ainslie Primary School,Gov,Year 2,86
02 August 2019,North Ainslie Primary School,Gov,Year 3,94
02 August 2019,North Ainslie Primary School,Gov,Year 4,77
02 August 2019,North Ainslie Primary School,Gov,Year 5,88
02 August 2019,North Ainslie Primary School,Gov,Year 6,66
02 August 2019,O'Connor Cooperative School,Gov,Preschool,17
02 August 2019,O'Connor Cooperative School,Gov,Kindergarten,15
02 August 2019,O'Connor Cooperative School,Gov,Year 1,21
02 August 2019,O'Connor Cooperative School,Gov,Year 2,17
02 August 2019,Palmerston District Primary School,Gov,Preschool,129
